,Climate & Environmental Factors,Ecological & Biodiversity Management,Estuary Ecology,Fisheries Management,Fisheries Policy & Management,Harvest Management,Offshore Fishing Operations,Recreational Fishing,Recreational Fishing Data,Species Status & Harvest,Wildlife Habitat Conservation
Climate & Environmental Factors,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0
Ecological & Biodiversity Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Estuary Ecology,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0
Fisheries Management,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,-0.5,0.0,0.0,0.0
Fisheries Policy & Management,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Harvest Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Offshore Fishing Operations,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Recreational Fishing,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0
Recreational Fishing Data,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
Species Status & Harvest,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
Wildlife Habitat Conservation,0.5,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
