,Biodiversity & Stakeholders,Community Cultural Elements,Economic & Biomedical Value,Ecosystem Resilience Management,Endangered Species Protection,Fishing Industry Management,Food Web Dynamics,Indigenous Perspectives,Management Approaches,Marine Ecosystem Threats,Network Analysis Methods,Regulatory Services Framework,Resource Management Systems,Social Relationship Dynamics,Temporal Restrictions
Biodiversity & Stakeholders,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.6,0.0,0.0,0.0,1.0,0.0
Community Cultural Elements,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
Economic & Biomedical Value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Ecosystem Resilience Management,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Endangered Species Protection,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Fishing Industry Management,-1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Web Dynamics,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
Indigenous Perspectives,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0
Management Approaches,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Ecosystem Threats,0.0,0.0,0.0,-0.6,0.2,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.5,0.0,1.0
Network Analysis Methods,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Regulatory Services Framework,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Resource Management Systems,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Social Relationship Dynamics,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.0,0.0,0.0,0.0,0.0
Temporal Restrictions,0.0,0.0,-0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
