dataset,best_model,best_F1
BD006,gpt-4.1,0.3536521282186021
BD007,gpt-4o,0.4097693351424694
BD020,deepseek-chat,0.4766146993318485
BD025,gemini-1.5-flash,0.4260869565217391
BD035,gpt-4.1,0.3807040417209908
BD036,gemini-1.5-flash,0.4505494505494505
BD037,gemini-1.5-flash,0.4392523364485981
BD038,gemini-1.5-flash,0.4032723772858517
BD039,gemini-1.5-flash,0.4605009633911368
BD041,gemini-1.5-flash,0.4173343044428259
BD049,gpt-4.1-mini,0.5130142737195634
BD051,gemini-1.5-flash,0.5994993742177721
BD057,gemini-1.5-flash,0.6318289786223278
BD058,gemini-2.0-flash,0.5263628239499554
BD060,claude-3-7-sonnet,0.5828065739570165
