model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
claude-3-7-sonnet,BD006,0.2934196332254584,25.0,4.0,32.0,99.0,0.6,1.0,1.1,54.0,176.0,15.0,61.0
claude-3-7-sonnet,BD007,0.0,0.0,0.0,2.0,81.0,0.6,1.0,1.1,20.0,81.0,2.0,2.0
claude-3-7-sonnet,BD020,0.0,0.0,0.0,2.0,44.0,0.6,1.0,1.1,33.0,44.0,2.0,2.0
claude-3-7-sonnet,BD025,0.3718338399189463,9.0,17.0,26.0,36.0,0.6,1.0,1.1,31.0,68.0,8.0,52.0
claude-3-7-sonnet,BD035,0.3172690763052209,17.0,5.0,27.0,58.0,0.6,1.0,1.1,13.0,129.0,8.0,49.0
claude-3-7-sonnet,BD036,0.2818428184281843,6.0,8.0,25.0,28.0,0.6,1.0,1.1,35.0,40.0,7.0,39.0
claude-3-7-sonnet,BD037,0.2523364485981308,7.0,2.0,10.0,38.0,0.6,1.0,1.1,12.0,69.0,5.0,19.0
claude-3-7-sonnet,BD038,0.2837465564738292,7.0,6.0,17.0,35.0,0.6,1.0,1.1,16.0,100.0,6.0,30.0
claude-3-7-sonnet,BD039,0.4585635359116022,18.0,5.0,26.0,23.0,0.6,1.0,1.1,35.0,45.0,8.0,49.0
claude-3-7-sonnet,BD041,0.0,0.0,0.0,2.0,117.0,0.6,1.0,1.1,18.0,117.0,2.0,2.0
claude-3-7-sonnet,BD049,0.4460929772502473,22.0,1.0,26.0,30.0,0.6,1.0,1.1,21.0,46.0,8.0,49.0
claude-3-7-sonnet,BD051,0.5308641975308642,8.0,5.0,7.0,12.0,0.6,1.0,1.1,19.0,25.0,5.0,20.0
claude-3-7-sonnet,BD057,0.4350282485875706,11.0,1.0,16.0,14.0,0.6,1.0,1.1,17.0,23.0,6.0,28.0
claude-3-7-sonnet,BD058,0.2279411764705882,2.0,2.0,2.0,19.0,0.6,1.0,1.1,18.0,25.0,3.0,6.0
claude-3-7-sonnet,BD060,0.5828065739570165,17.0,11.0,20.0,13.0,0.6,1.0,1.1,19.0,23.0,11.0,48.0
claude-sonnet-4,BD006,0.3143170597915523,27.0,3.0,40.0,85.0,0.6,1.0,1.1,54.0,176.0,40.0,70.0
claude-sonnet-4,BD007,0.2648444863336475,8.0,11.0,35.0,43.0,0.6,1.0,1.1,20.0,81.0,31.0,54.0
claude-sonnet-4,BD020,0.4607379375591296,15.0,17.0,32.0,25.0,0.6,1.0,1.1,33.0,44.0,29.0,64.0
claude-sonnet-4,BD025,0.3978494623655914,13.0,10.0,24.0,32.0,0.6,1.0,1.1,31.0,68.0,8.0,47.0
claude-sonnet-4,BD035,0.2151675485008818,10.0,4.0,31.0,58.0,0.6,1.0,1.1,13.0,129.0,19.0,45.0
claude-sonnet-4,BD036,0.3108298171589311,5.0,11.0,20.0,29.0,0.6,1.0,1.1,35.0,40.0,12.0,36.0
claude-sonnet-4,BD037,0.3482905982905983,13.0,6.0,23.0,38.0,0.6,1.0,1.1,12.0,69.0,15.0,42.0
claude-sonnet-4,BD038,0.3554502369668246,16.0,5.0,33.0,35.0,0.6,1.0,1.1,16.0,100.0,21.0,54.0
claude-sonnet-4,BD039,0.317738791423002,13.0,6.0,45.0,25.0,0.6,1.0,1.1,35.0,45.0,37.0,64.0
claude-sonnet-4,BD041,0.3419267299864315,23.0,4.0,40.0,57.0,0.6,1.0,1.1,18.0,117.0,38.0,67.0
claude-sonnet-4,BD049,0.4054054054054054,15.0,0.0,16.0,28.0,0.6,1.0,1.1,21.0,46.0,9.0,31.0
claude-sonnet-4,BD051,0.3812709030100334,7.0,8.0,25.0,12.0,0.6,1.0,1.1,19.0,25.0,23.0,40.0
claude-sonnet-4,BD057,0.5700110253583242,22.0,7.0,27.0,12.0,0.6,1.0,1.1,17.0,23.0,20.0,56.0
claude-sonnet-4,BD058,0.4290375203915171,6.0,13.0,21.0,14.0,0.6,1.0,1.1,18.0,25.0,19.0,40.0
claude-sonnet-4,BD060,0.332220367278798,5.0,9.0,26.0,14.0,0.6,1.0,1.1,19.0,23.0,23.0,40.0
deepseek-chat,BD006,0.0699300699300699,5.0,0.0,12.0,121.0,0.6,1.0,1.1,54.0,176.0,22.0,17.0
deepseek-chat,BD007,0.3561872909698997,18.0,6.0,30.0,47.0,0.6,1.0,1.1,20.0,81.0,13.0,54.0
deepseek-chat,BD020,0.4766146993318485,17.0,8.0,22.0,25.0,0.6,1.0,1.1,33.0,44.0,9.0,47.0
deepseek-chat,BD025,0.4014365522745411,18.0,13.0,44.0,31.0,0.6,1.0,1.1,31.0,68.0,34.0,75.0
deepseek-chat,BD035,0.0159189580318379,0.0,1.0,0.0,68.0,0.6,1.0,1.1,13.0,129.0,2.0,1.0
deepseek-chat,BD036,0.0,0.0,0.0,2.0,40.0,0.6,1.0,1.1,35.0,40.0,2.0,2.0
deepseek-chat,BD037,0.0909090909090909,2.0,1.0,3.0,48.0,0.6,1.0,1.1,12.0,69.0,3.0,6.0
deepseek-chat,BD038,0.3534932221063607,12.0,9.0,27.0,35.0,0.6,1.0,1.1,16.0,100.0,9.0,48.0
deepseek-chat,BD039,0.425699928212491,28.0,3.0,52.0,28.0,0.6,1.0,1.1,35.0,45.0,48.0,83.0
deepseek-chat,BD041,0.16354556803995,6.0,1.0,5.0,62.0,0.6,1.0,1.1,18.0,117.0,4.0,12.0
deepseek-chat,BD049,0.489402697495183,21.0,8.0,20.0,33.0,0.6,1.0,1.1,21.0,46.0,9.0,49.0
deepseek-chat,BD051,0.4434137291280148,7.0,9.0,18.0,12.0,0.6,1.0,1.1,19.0,25.0,14.0,34.0
deepseek-chat,BD057,0.5004625346901018,21.0,11.0,42.0,12.0,0.6,1.0,1.1,17.0,23.0,32.0,74.0
