,affordability,availability,convenience stores,covid-19 impact,education,employment,farmers markets,food sources,grocery stores,housing,income,nutrition,retail use,systemic change,transportation
affordability,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
availability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
convenience stores,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
covid-19 impact,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0
employment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
farmers markets,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
food sources,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3333333333333333,0.0,1.0,1.0,0.0,1.0
grocery stores,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
housing,0.0,0.0,0.0,-0.8,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
income,1.0,0.0,0.0,-1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
nutrition,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,1.0,0.0
retail use,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
systemic change,0.0,1.0,0.5,-0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
transportation,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
