dataset,best_model,best_F1
GoM-IEA-Wind-CM-SM,gemini-1.5-flash,0.9655172413793104
IEA-Wind-CM-AE,gemini-1.5-flash,0.7914438502673797
IEA-Wind-CM-AM,gpt-5,0.8377358490566038
IEA-Wind-CM-AR,gemini-1.5-flash,0.9285714285714286
IEA-Wind-CM-BK,gpt-5,0.8381742738589212
IEA-Wind-CM-BS,gpt-5,0.8648648648648649
IEA-Wind-CM-CCDB,gemini-1.5-flash,0.8625
IEA-Wind-CM-CH,gpt-4.1,0.823943661971831
IEA-Wind-CM-CP,gemini-1.5-flash,0.8932038834951457
IEA-Wind-CM-DB,gemini-1.5-flash,0.8611111111111112
IEA-Wind-CM-DGA,gpt-5,0.8471615720524017
IEA-Wind-CM-DoP,gpt-4.1-mini,0.8064516129032258
IEA-Wind-CM-HRP,gemini-1.5-flash,0.8888888888888888
IEA-Wind-CM-JB,gemini-1.5-flash,0.925925925925926
IEA-Wind-CM-JL,gemini-1.5-flash,0.8759124087591241
IEA-Wind-CM-JMF,gpt-4.1-mini,0.7832699619771863
IEA-Wind-CM-KS,gemini-1.5-flash,0.8269230769230769
IEA-Wind-CM-LM,gemini-1.5-flash,0.9375
IEA-Wind-CM-LP,gemini-2.0-flash,0.8609271523178808
IEA-Wind-CM-MB,gemini-1.5-flash,0.8970588235294118
IEA-Wind-CM-MM,gpt-4.1,0.8793774319066148
IEA-Wind-CM-MaS,gpt-5,0.8214285714285714
IEA-Wind-CM-MiS,gemini-1.5-flash,0.84
IEA-Wind-CM-NREL,gemini-1.5-flash,0.9154929577464788
IEA-Wind-CM-OB,gemini-2.0-flash,0.9066666666666666
IEA-Wind-CM-PB,gpt-4.1,0.8102189781021898
IEA-Wind-CM-SEWC,gemini-2.0-flash,0.8369565217391305
IEA-Wind-CM-SG,gemini-1.5-flash,0.9230769230769232
IEA-Wind-CM-TRE,gpt-5,0.8148148148148148
IEA-Wind-CM-UNO,gemini-1.5-flash,0.8263473053892215
IEA-Wind-CM-VC,gemini-1.5-flash,0.9557522123893806
