,Community Engagement,Conservation Strategies,Ecosystem Processes,Fishing Industry Sectors,Habitat Conservation,Hatchery Salmon Farming,Marine Wildlife Protection,Megafauna Effects,Ocean and Salmon Ecology,Population Modeling,Species Dynamics,Wild and Hatchery Salmon,habitat forming species
Community Engagement,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Conservation Strategies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ecosystem Processes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Fishing Industry Sectors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habitat Conservation,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Hatchery Salmon Farming,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Marine Wildlife Protection,0.0,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Megafauna Effects,0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocean and Salmon Ecology,0.5,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population Modeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Species Dynamics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wild and Hatchery Salmon,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
habitat forming species,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0
