,Community Impact,Community Support,Economic Resources,Economic Systems,Family Youth Outcomes,Food Access,Health Policy,Local Community,Market Dynamics,Partnerships & Clients,School Nutrition,Single Parent Income,Systemic Change Factors,Urban Agriculture
Community Impact,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666
Community Support,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.8,0.3333333333333333,0.0,0.0,0.0
Economic Resources,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Economic Systems,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Family Youth Outcomes,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Access,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Health Policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.3333333333333333,1.0,0.0,0.0,0.0
Local Community,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Market Dynamics,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnerships & Clients,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
School Nutrition,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0
Single Parent Income,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Systemic Change Factors,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Urban Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
