112,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Availability,Building Community,Chain Restaurants,Community Empowerment,Convenience Stores,Education,Farmers Markets,Grocery Stores,Income + Employment,Local Restaurants,Nutritious Foods,Outsourcing in Education System,Partnerships,Physical Health,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector,Volunteers
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Access to Transportation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building Community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmers Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grocery Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income + Employment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Outsourcing in Education System,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0
Partnerships,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physical Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Use of Retail,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Volunteers,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
