118,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Accessibility,Affordability,Availability,Chain Restaurants,Convenience Stores,Education,Farmers Markets,Grocery Store Closures,Grocery Stores,Income + Employment,Local Restaurants,Nutritious Foods,Physical Health,Safety,Social Inequities/Disparities,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Access to Transportation,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0
Accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Affordability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Farmers Markets,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Grocery Store Closures,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Grocery Stores,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Income + Employment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Physical Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Social Inequities/Disparities,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Retail,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
