101,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Affordability,Availability,Chain Restaurants,Convenience Stores,Farmers Markets,Grocery Stores,Local Restaurants,Quality of Life is Respected,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Access to Transportation,0,0,0,0,1,0,-1,0,1,0,0,0,0,0
Affordability,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Farmers Markets,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0
Grocery Stores,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Local Restaurants,0,0,0,-1,1,0,0,0,0,0,1,0,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Retail,0,0,0,0,0,1,1,1,1,1,0,0,0,0
Use of Supplemental Sector,0,0,0,1,0,0,1,1,1,0,1,0,0,0
