113,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Affordability,Availability,Chain Restaurants,Community Empowerment,Convenience Stores,Farmers Markets,Grocery Store Closures,Grocery Stores,Local Restaurants,Nutritious Foods,Quality of Life is Respected,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector,Volunteers
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Access to Transportation,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0
Affordability,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0
Farmers Markets,0,0,0,-1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
Grocery Store Closures,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Grocery Stores,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Use of Retail,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,0,0,0,1,1,0,1,0,0,-1,0,0,0,0
Volunteers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
