105,Ability of Emergency Sector,Ability of Supplemental Sector,Affordability,Availability,Chain Restaurants,Convenience Stores,Education,Farmers Markets,Gardening + Local Agriculture,Grocery Stores,Local Restaurants,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Affordability,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Availability,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,0,0,1,0,0,0,0,1,1,1,1,0,0,1
Farmers Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardening + Local Agriculture,0,0,1,1,0,0,0,0,0,0,0,0,-1,0
Grocery Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0
Use of Retail,0,0,0,0,1,1,0,1,0,1,1,0,0,0
Use of Supplemental Sector,0,0,1,1,0,1,0,1,0,1,0,0,0,0
