148,Ability of Emergency Sector,Ability of Supplemental Sector,Affordability,Chain Restaurants,Community Empowerment,Convenience Stores,Education,Education on Financial Planning/Skills,Farmers Markets,Financial Viability of Restaurants,Food Choices Based on Time + Convenience,Food Costs (Sourcing),Grocery Stores,Healthy Food Choices,Local Restaurants,Nutritious Foods,Quality of Life is Respected,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Affordability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Convenience Stores,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Education,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Education on Financial Planning/Skills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Farmers Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Viability of Restaurants,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Food Choices Based on Time + Convenience,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Food Costs (Sourcing),0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Grocery Stores,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthy Food Choices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Retail,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Use of Supplemental Sector,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
