107,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Accessibility,Accessibility of Emergency Food,Affordability,Availability,Chain Restaurants,Chain Retail,Confidence in Food,Conflict & Competition for Funding + Resources,Convenience,Convenience Stores,Crime,Delivered Food,Demand for Emergency Food from People Outside Flint,Expectation of Free/Convenient Food,Farmers Markets,Farmers market move,Financial Viability of the Farmers Market,Grocery Store Closures,Grocery Stores,Growth Constraints,Hunger,Lack of Space/Demand for Chain Stores,Limited Funding for Basic Needs,Limited Operation Hours or Days,Local Restaurants,Local Retail,Loyal Customer Base,Nutritious Foods,Partnerships,Quality of Retail,Reliance on the Food Bank,Safety,Seasonality,Stability of Food System,Sustainability,Top-Down Funding/Resources,Trust,USDA Farmers to Families Program,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector,Vehicle Food Pick Ups
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Access to Transportation,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Accessibility,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accessibility of Emergency Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Affordability,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Availability,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Retail,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
Confidence in Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conflict & Competition for Funding + Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
