109,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Availability,CRIM,Chain Restaurants,Community Empowerment,Convenience Stores,Education,Farmers Markets,Flint Fresh + Food Hub,Flint School Board,Grocery Stores,Local Restaurants,Nutritious Foods,Partnerships,Quality of Life is Respected,Sodexo,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Access to Transportation,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIM,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Farmers Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flint Fresh + Food Hub,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Flint School Board,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,0
Grocery Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Partnerships,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodexo,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,-1,0,-1,0,0,0,1
Use of Emergency Sector,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Use of Retail,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
