108,Ability of Emergency Sector,Ability of Supplemental Sector,Availability,Chain Restaurants,Community Empowerment,Convenience Stores,Education,Employment,Farmers Markets,Funding + Grants,Grocery Store Closures,Grocery Stores,Health & Well-Being,Local Restaurants,Nutritious Foods,Power Structures/Differences,Quality of Life is Respected,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Availability,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Empowerment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Convenience Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Employment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmers Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funding + Grants,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grocery Store Closures,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Grocery Stores,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Health & Well-Being,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Power Structures/Differences,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Retail,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
