134,Ability of Emergency Sector,Ability of Supplemental Sector,Affordability,Chain Restaurants,Community Empowerment,Convenience Stores,Domination of Big Stores/Companies,Farmers Markets,Flint Fresh + Food Hub,Food Sovereignty,Grocery Stores,Income,Local Economic Development,Local Restaurants,Local Retail,National Policy/Political System,Nutritious Foods,Partnerships,Quality of Life is Respected,Resilience,Unhelpful Interventions + Extractive Research,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Affordability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Convenience Stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Domination of Big Stores/Companies,0,0,1,1,0,0,0,0,0,-1,1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0
Farmers Markets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flint Fresh + Food Hub,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Food Sovereignty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grocery Stores,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Income,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Economic Development,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0
Local Retail,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
National Policy/Political System,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Partnerships,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resilience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unhelpful Interventions + Extractive Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Use of Retail,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
