"","1b. Successfully determine architecture","1a. Successfully determine stack(s)","1c. Decide 'YES' to continue with CTF","2a. Successfully ID socket input","2c. ID env vars","2d. ID terminal input / configs","2b. ID custom protocols","3. Successfully run program to first break point","Research: Google, ChatGPT, Wikipedia, etc.","4. Decompile, successfully understand all functions","5. Successfully create Python solve script","6. Complete CTF","Research","Challenge has known file formats for major OS","Use hex editor to see common instruction patterns","Challenge has unstructured data with no context","Use binwalk for instruction frequency analysis","Challenge has well formed binary from known OS (apparent file signature)","Compiler string patterns identify language (possibly by identifying compiler)","Binary is stripped of debugging info","Strings obfuscated","Use Ghidra to determine stack","CTF time constraint poses difficulty for completing challenge","Binary is dynamically (NOT statically) linked","Optimization level of binary is very high","Runtime type identifiers (RTTI) or templating is used","OS is Linux based","Binary is statically compiled","Dockerfile is provided","Familiarity with protocol","Debugger is user-friendly","Data structure is complex","Architecture is supported by GEF","Python package is available for input method being used","Python package is available for protocol being used","Dynamic variable, code, object modifications are required","Local and remote set-up do not match","Normal, but complex protocols required","(Surprise) Architecture identifiable, but never used","(Time waster) Frequency analysis fails","(Surprise + Time waster) Multiple languages in a binary","(Surprise) Owner implemented own bytecode VM","(Time waster) Heap-based libc versioning","(Time waster) Templated code requires more dynamic introspection","(Time waster) Your hardware isn't working like your teammate's hardware","(Surprise) Your location in the world is different from CTF host geography"
"1b. Successfully determine architecture","","","0","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"1a. Successfully determine stack(s)","","","0","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"1c. Decide 'YES' to continue with CTF","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2a. Successfully ID socket input","","","","","-1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2c. ID env vars","","","","","","-1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2d. ID terminal input / configs","","","","","","","-1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2b. ID custom protocols","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"3. Successfully run program to first break point","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Research: Google, ChatGPT, Wikipedia, etc.","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Decompile, successfully understand all functions","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Successfully create Python solve script","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Complete CTF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Research","","","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Challenge has known file formats for major OS","1","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Use hex editor to see common instruction patterns","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Challenge has unstructured data with no context","-1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Use binwalk for instruction frequency analysis","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
"Challenge has well formed binary from known OS (apparent file signature)","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Compiler string patterns identify language (possibly by identifying compiler)","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Binary is stripped of debugging info","","-1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Strings obfuscated","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Use Ghidra to determine stack","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTF time constraint poses difficulty for completing challenge","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Binary is dynamically (NOT statically) linked","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Optimization level of binary is very high","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Runtime type identifiers (RTTI) or templating is used","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OS is Linux based","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"Binary is statically compiled","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dockerfile is provided","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Familiarity with protocol","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Debugger is user-friendly","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Data structure is complex","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Architecture is supported by GEF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Python package is available for input method being used","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Python package is available for protocol being used","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dynamic variable, code, object modifications are required","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"Local and remote set-up do not match","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Normal, but complex protocols required","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"(Surprise) Architecture identifiable, but never used","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Time waster) Frequency analysis fails","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Surprise + Time waster) Multiple languages in a binary","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Surprise) Owner implemented own bytecode VM","","","","","","","1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Time waster) Heap-based libc versioning","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Time waster) Templated code requires more dynamic introspection","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Time waster) Your hardware isn't working like your teammate's hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"(Surprise) Your location in the world is different from CTF host geography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
