"","1. Successfully understand what challenge code / data is","2. Successfully understand how it works","3. Successfully understand how to interact with code to gather useful output","4. Successfully identify vulnerabilities","Successfully crash program","5. Successfully build exploit leveraging vulnerabilities","6. Complete CTF","Successfully run file on executable","Dumping hex values of potential binary to examine file signatures","Informative CTF description","Known CTF category","Examine encoding (for example, base64 containing binary data)","Ability to run a binary and get meaningful output","Determine language from source code (C, assembly, etc.)","The available code or data is not executable on your system","Find functions or statements that use libraries designed to gather input from stdin or stdout (from user)","Program is a server","Check if accepts GET requests","Understand meaning of response to requests","Source code generates cyphertext","Input random values to successfully identify the structure and format of outputs","Debugger enables stepping through program to see how interactions are occurring","Informative Google results","Successful identification of patterns (ex, mention of "heap")","Available tools based on challenge help identify vulnerability (frequency analysis for crypto, forensics)","Fuzzers blast input on binary and surface exploit for you by crashing program","Craft a script that effectively interacts with program","Able to program/script with Python and use pwntools, cryptographic libraries (pycryptodome), etc.","Successfully find POCs on Github","If web CTF, successfully craft MITM using burpsuite to send malicious data for privilege escalation / impersonate someone else with cookie / etc.","(Surprise) Tools are wrong, file results are misleading","Results of examinations are inconclusive","Discover that code mimics a certain challenge or vulnerability to throw off attackers","Executable is made for a different OS","Successfully virtualize","Know how to effectively virtualize or emulate","Source code is obfuscated","Source code is .js","Symbols of binary are stripped","Difficulty encountered reading the code","Successfully examine source code","Identify reversible operations in the source code","Determine vulnerable or misused functions","Identify stack protections: non-executable stack, randomized addresses, stack canaries","(Time waster) Discover misleading belief that something is vulnerable","Run checksec, otool (mac)","Past experience informs what to look for","Using wrong exploit","Math is wrong","Pattern isn't what you think it is","Jumping to conclusions","Make assumptions to see whether/if something works","Perceived progress","Double down on assumptions","Approach possible vulnerability with skepticism"
"1. Successfully understand what challenge code / data is","","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Successfully understand how it works","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Successfully understand how to interact with code to gather useful output","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","",""
"4. Successfully identify vulnerabilities","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
"Successfully crash program","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Successfully build exploit leveraging vulnerabilities","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Complete CTF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully run file on executable","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dumping hex values of potential binary to examine file signatures","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Informative CTF description","1","","","","","","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Known CTF category","1","","","","","","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Examine encoding (for example, base64 containing binary data)","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability to run a binary and get meaningful output","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Determine language from source code (C, assembly, etc.)","","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The available code or data is not executable on your system","","-1","","","","","","","","","","","-1","-0.5","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Find functions or statements that use libraries designed to gather input from stdin or stdout (from user)","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Program is a server","","","","","-0.5","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Check if accepts GET requests","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Understand meaning of response to requests","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source code generates cyphertext","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Input random values to successfully identify the structure and format of outputs","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Debugger enables stepping through program to see how interactions are occurring","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Informative Google results","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","0.5","","","","","","","","","",""
"Successful identification of patterns (ex, mention of "heap")","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","",""
"Available tools based on challenge help identify vulnerability (frequency analysis for crypto, forensics)","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuzzers blast input on binary and surface exploit for you by crashing program","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Craft a script that effectively interacts with program","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","",""
