"","1. Overview: Understand system at large","2. Successfully collect data","3a. (HW) Successful physical Interfacing","3b. (HW) Successfully obtain Access","4. Successfully exploit components","(HW) Fail to obtain access","(FW/SW) successfully collect data: What software + features, what languages","(FWSW) Fail to obtain access","Successfully exploit components","Successfully obtain access","5. Capture Flag","Successfully identify subcomponents","Successfully ID component inferfacing","Manufacturer datasheets available","Successfully find datasheet online","Determine data wanted from datasheet via RE","Fail to find datasheet online","Physical requirements determined","Data protocol is understandable","Necessary physical tools are available","Tool software component is available and usable","Partial access","Successfully ID security mechanisms","RE knowledge","Prior knowledge","Online knowledge","Partial access","Obtain necessary primitives","Lack of subcomponent documentation","Lack of prior knowledge","Perform RE to identify key components (of functional interest)","Write interface-specific tool software","Hardware labels","Obfuscation","Code obfuscation","Encryption","Mislabeling","Surprise: Damage testing device","RE components of NOT functional interest (distraction)","Prioritize components that inform goal of obtaining access","Interface purpose is not useful","FW/SW security mechanisms","Available list of security mechanisms enable identifying security mechanisms in place","Identify what to exploit","Have to go through another layer of security"
"1. Overview: Understand system at large","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Successfully collect data","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3a. (HW) Successful physical Interfacing","","","","","","1","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","1","","","",""
"3b. (HW) Successfully obtain Access","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Successfully exploit components","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(HW) Fail to obtain access","","","","-1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(FW/SW) successfully collect data: What software + features, what languages","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1",""
"(FWSW) Fail to obtain access","","","","","","","","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully exploit components","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully obtain access","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96"
"5. Capture Flag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully identify subcomponents","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
