"","A. Understand challenge","B. Download files / connect to server","C. Run locally / upload to ghidra","D. Look for common bug classes / indicators of flag","E. Understand how user input -> vulnerability","F. Exercise PoC locally","G. Build exploit primitives","H. Develop local exploit","I. Develop remote exploit","J. Get flag","Red herrings","Successfully connect","Confirm ideas about challenge","Permission issues","Successfully download","Architecture and OS support locally running","Architecture and OS support uploading to decompiler","Tool / system does not support approach","Emulation or VMs","Try other decompilers","Build disassembler","Decompilation is readable","Code obfuscation (challenge and distraction)","Debug strings for errors, logs, etc. exist","Debug symbols for compilation exist","Lack of time for fuzzing","Ability to run the program (emulation, local, etc.)","Ability to use debugger/debug program to get meaningful information (control flow, register context)","Anti-debugger techniques","Malware techniques by attacker (in offensive context)","Discovery of defensive mitigations (ASLR, Data execution prevention, stack canaries)","Successfully bypass mitigations","Issue between local and remote context","Confirm sufficient number of primitives available","Primitive discovery tools are available (grep, ropper)","Ability to discover primitives","Architecture makes discovery of primitives difficult","Fail to connect error","Unexpected obfuscation (ex, Self-unpacking binary)","Discover switching architecture during program execution","Use multiple emulation techniques","Ability to chain primitives","Your local set-up is wrong","Assume dynamic variables are static (+ vice versa)","Wrong versions of binaries given to you","Discover only have ability to leak certain number of characters","File headers are incorrect/misleading, leading to poor assumptions + distraction","Misleading information from binary, e.g. polyglots (distraction)","Execution instructions are vague (distraction)","Missing understanding about the challenge","Primitive discovery tools are tricked or do not work"
"A. Understand challenge","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B. Download files / connect to server","1","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C. Run locally / upload to ghidra","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D. Look for common bug classes / indicators of flag","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E. Understand how user input -> vulnerability","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"F. Exercise PoC locally","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G. Build exploit primitives","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"H. Develop local exploit","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. Develop remote exploit","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J. Get flag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red herrings","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully connect","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Confirm ideas about challenge","","","","","","1","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","",""
"Permission issues","","","","","","","","","","","","-1","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Successfully download","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Architecture and OS support locally running","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Architecture and OS support uploading to decompiler","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tool / system does not support approach","","","","","","","","","","","","","","","","-1","-1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Emulation or VMs","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Try other decompilers","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Build disassembler","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Decompilation is readable","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Code obfuscation (challenge and distraction)","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","",""
"Debug strings for errors, logs, etc. exist","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Debug symbols for compilation exist","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lack of time for fuzzing","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability to run the program (emulation, local, etc.)","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"Ability to use debugger/debug program to get meaningful information (control flow, register context)","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anti-debugger techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","",""
"Malware techniques by attacker (in offensive context)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Discovery of defensive mitigations (ASLR, Data execution prevention, stack canaries)","","","","1","1","-1","-1","-1","-1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Successfully bypass mitigations","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Issue between local and remote context","","1","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Confirm sufficient number of primitives available","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"Primitive discovery tools are available (grep, ropper)","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Ability to discover primitives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Architecture makes discovery of primitives difficult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","-0.97","","","","","","","","","","","","","","","1"
"Fail to connect error","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unexpected obfuscation (ex, Self-unpacking binary)","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discover switching architecture during program execution","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","1","","","","","","","","","",""
"Use multiple emulation techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability to chain primitives","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Your local set-up is wrong","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"Assume dynamic variables are static (+ vice versa)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Wrong versions of binaries given to you","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"Discover only have ability to leak certain number of characters","","","","","","","","","1","-0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"File headers are incorrect/misleading, leading to poor assumptions + distraction","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Misleading information from binary, e.g. polyglots (distraction)","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","",""
"Execution instructions are vague (distraction)","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Missing understanding about the challenge","","","","","","","","","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","",""
"Primitive discovery tools are tricked or do not work","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","","","","","","","","","","","","","","",""
