,affordability,affordable food,business challenges,community empowerment,consumer choices,convenience,covid-19 impact,food quality,food systems,local businesses,local restaurants,local support,nutritious food,quality of life,retail types
affordability,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
affordable food,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
business challenges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-0.75,0.0,-1.0
community empowerment,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consumer choices,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
convenience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covid-19 impact,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
food quality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
food systems,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
local businesses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
local restaurants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
local support,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nutritious food,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
quality of life,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
retail types,0.0,0.0,0.0,0.75,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0
