,Coastal Conservation,Coastal Restoration,Ecosystem Keystone,Ecosystem Relations,Harmful Organisms,Management Styles,Marine Natives,Ocean Habitats,Species Stressors,biodiversity,shoreline development
Coastal Conservation,0.0,0.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.5
Coastal Restoration,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,-0.6
Ecosystem Keystone,0.0,0.6,0.0,1.0,-0.6,1.0,0.6,0.0,0.0,1.0,-0.6
Ecosystem Relations,0.8,1.0,0.0,0.0,-0.6,0.0,0.6,0.0,0.0,0.0,-1.0
Harmful Organisms,0.0,-0.6,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0
Management Styles,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0
Marine Natives,0.0,1.0,0.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
Ocean Habitats,0.0,0.0,0.0,-0.6,0.0,0.75,-0.6,0.0,0.0,0.0,0.0
Species Stressors,0.0,0.0,-0.4,0.0,0.0,0.0,-0.5,0.0,0.0,-0.6,0.0
biodiversity,0.8,1.0,0.6,1.0,0.0,1.0,0.0,-0.3333333333333333,0.0,0.0,-0.4
shoreline development,1.0,-1.0,-1.0,0.0,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0
