,Biodiversity & Species Dynamics,Coastal and Marine Threats,Cultural & Regulatory Agencies,Ecosystem Dynamics,Fisheries Management,Habitat and Pollution Management,Recreational Fishing,Recreational Fishing Activities,Resource Management Strategies,Species Protection
Biodiversity & Species Dynamics,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Coastal and Marine Threats,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8,0.0
Cultural & Regulatory Agencies,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ecosystem Dynamics,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fisheries Management,-1.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0
Habitat and Pollution Management,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0
Recreational Fishing,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Recreational Fishing Activities,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0
Resource Management Strategies,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.6,0.0,0.2
Species Protection,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0
