model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-1.5-flash,BD001,0.5389681668496159,24.0,1.0,29.0,13.0,0.6,1.0,1.1,14.0,20.0,10.0,54.0
gemini-1.5-flash,BD016,0.5807644882860666,23.0,1.0,18.0,16.0,0.6,1.0,1.1,19.0,30.0,7.0,42.0
gemini-1.5-flash,BD017,0.5263157894736842,25.0,0.0,29.0,16.0,0.6,1.0,1.1,19.0,30.0,11.0,54.0
gemini-1.5-flash,BD021,0.4256410256410256,18.0,5.0,26.0,30.0,0.6,1.0,1.1,40.0,53.0,9.0,49.0
gemini-1.5-flash,BD022,0.6129837702871411,24.0,1.0,24.0,7.0,0.6,1.0,1.1,13.0,13.0,9.0,49.0
gemini-1.5-flash,BD024,0.5635430038510911,17.0,9.0,16.0,18.0,0.6,1.0,1.1,20.0,29.0,7.0,42.0
gemini-1.5-flash,BD027,0.4857768052516411,20.0,4.0,30.0,17.0,0.6,1.0,1.1,16.0,37.0,13.0,54.0
gemini-1.5-flash,BD028,0.6043656207366985,15.0,13.0,27.0,2.0,0.6,1.0,1.1,5.0,5.0,15.0,55.0
gemini-1.5-flash,BD050,0.5128205128205128,30.0,0.0,34.0,23.0,0.6,1.0,1.1,27.0,38.0,23.0,64.0
gemini-1.5-flash,BD064,0.4663820704375667,18.0,7.0,29.0,21.0,0.6,1.0,1.1,29.0,32.0,19.0,54.0
gemini-2.0-flash,BD001,0.3877551020408163,5.0,3.0,8.0,13.0,0.6,1.0,1.1,14.0,20.0,7.0,16.0
gemini-2.0-flash,BD016,0.5723684210526316,25.0,2.0,22.0,17.0,0.6,1.0,1.1,19.0,30.0,8.0,49.0
gemini-2.0-flash,BD017,0.5162569389373513,32.0,1.0,45.0,16.0,0.6,1.0,1.1,19.0,30.0,35.0,78.0
gemini-2.0-flash,BD021,0.3646408839779005,11.0,4.0,16.0,30.0,0.6,1.0,1.1,40.0,53.0,7.0,31.0
gemini-2.0-flash,BD022,0.5565410199556541,24.0,2.0,34.0,6.0,0.6,1.0,1.1,13.0,13.0,26.0,60.0
gemini-2.0-flash,BD024,0.4806421152030217,15.0,19.0,37.0,18.0,0.6,1.0,1.1,20.0,29.0,29.0,71.0
gemini-2.0-flash,BD027,0.4532199270959902,17.0,3.0,26.0,19.0,0.6,1.0,1.1,16.0,37.0,8.0,46.0
gemini-2.0-flash,BD028,0.5502092050209205,23.0,6.0,41.0,2.0,0.6,1.0,1.1,5.0,5.0,30.0,70.0
gemini-2.0-flash,BD050,0.4046511627906977,19.0,5.0,42.0,22.0,0.6,1.0,1.1,27.0,38.0,58.0,66.0
gemini-2.0-flash,BD064,0.3557168784029038,13.0,12.0,49.0,22.0,0.6,1.0,1.1,29.0,32.0,42.0,74.0
