,Climate Impacts,Coastal Ecosystem,Conservation Priorities,Funding & Structures,Habitat Impacts,Keystone Biodiversity,Marine Dredging,Marsh Habitat,Prey Competition,Species Conservation,Urban Ecology,Wildlife Monitoring,human well-being
Climate Impacts,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Coastal Ecosystem,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,1.0
Conservation Priorities,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0
Funding & Structures,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.2,-1.0,0.0,-1.0,0.0
Habitat Impacts,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-0.6,0.0,-1.0,0.0,0.0,-1.0
Keystone Biodiversity,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Dredging,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marsh Habitat,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Prey Competition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0
Species Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Urban Ecology,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Wildlife Monitoring,0.0,0.0,1.0,-0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
human well-being,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,-0.5,1.0,0.75,1.0,0.0
