,Co-Management,Collaborative Management,Environmental Justice,Fisheries Management,Government Laws,Human-Nature Relationships,Indigenous Conservation,Management Methods,Management Plans,Policy Actions,Resource Policies,Virtual Teams,co-evolutionary relationships
Co-Management,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Collaborative Management,1.0,0.0,0.3333333333333333,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Environmental Justice,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fisheries Management,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Government Laws,0.0,0.0,-0.5,-1.0,0.0,-0.5,0.0,-1.0,-1.0,0.0,-1.0,0.0,-0.8
Human-Nature Relationships,0.0,0.0,0.75,0.4,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0
Indigenous Conservation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Management Methods,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Management Plans,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Policy Actions,1.0,0.0,0.0,0.75,-0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Resource Policies,1.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2
Virtual Teams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
co-evolutionary relationships,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
