,habitat-forming species,species of conservation concern,key food web supporting species,keystone species,overall biodiversity,species of commercial/recreational interest,species of cultural importance,"water recreation (diving, etc)",commercial/ recreational fishing,sanctuary advisory council,shipping vessels,oil and gas exploration limitations,area-based management,microplastics,derelict fishing gear,climate change,increased temperatures,increased storm frequency,noise pollution,harmful organisms,tribal importance
habitat-forming species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
species of conservation concern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keystone species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overall biodiversity,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
species of commercial/recreational interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species of cultural importance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"water recreation (diving, etc)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
commercial/ recreational fishing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sanctuary advisory council,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shipping vessels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas exploration limitations,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
area-based management,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
microplastics,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1
derelict fishing gear,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1
climate change,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1
increased temperatures,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-1
increased storm frequency,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1
noise pollution,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
tribal importance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
