,habitat forming species,key food web supporting species,species of conservation concern,harmful organisms,number of native species present in native area,habitat restoration,single species management/ conservation,more resilient oyster reef development,shoreline development,ocean acidification,nutrient removal,improving water quality,habitat for fisheries species
habitat forming species,0,1,-1,-1,1,1,1,1,0,0,1,1,1
key food web supporting species,1,0,1,-1,1,1,1,1,0,0,1,1,1
species of conservation concern,1,1,0,-1,1,1,1,1,-1,0,1,1,1
harmful organisms,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1
number of native species present in native area,1,1,-1,-1,0,1,1,0,1,0,1,1,1
habitat restoration,1,1,-1,-1,1,0,1,1,0,0,1,1,1
single species management/ conservation,1,1,1,1,1,1,0,0,0,0,1,1,1
more resilient oyster reef development,1,1,1,1,1,1,1,0,0,0,1,1,1
shoreline development,-1,-1,1,1,-1,-1,1,-1,0,0,-1,-1,-1
ocean acidification,1,1,-1,-1,0,1,1,1,0,0,1,1,1
nutrient removal,1,1,0,-1,1,1,1,1,0,0,0,1,1
improving water quality,1,1,0,-1,1,1,1,1,0,0,1,0,1
habitat for fisheries species,1,1,1,1,1,1,1,1,0,0,1,1,0
