,biodiversity in coral reef ecosystems,corals reefs (habitat-forming species),nutrition (for humans),coastal protection,cultural services,key food web supporting species,stony coral tissue disease (harmful pathogen / organism),"global stressors (slr, warming waters, co2)",local land-based sources of pollution,turbidity,local temp changes,"local, nearshore changes in ph (lowering)",education with local communities,best / sustainable farming practices,best waste management practices,local funds & resources,job security (fishing communities),local communities
biodiversity in coral reef ecosystems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
corals reefs (habitat-forming species),1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
nutrition (for humans),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cultural services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stony coral tissue disease (harmful pathogen / organism),0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"global stressors (slr, warming waters, co2)",0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
local land-based sources of pollution,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
turbidity,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local temp changes,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"local, nearshore changes in ph (lowering)",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
education with local communities,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
best / sustainable farming practices,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
best waste management practices,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
local funds & resources,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0
job security (fishing communities),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
