,biodiversity,rec striped bass fishing,rec snakehead fishing (invasive),rec blue catfish fishing (invasive),flounder,red drum,hypoxia,degraded habitat,license fees,public access,limited parking,sea trout,travel time,kayaking,offshore fishing,development,trash / marine debris,climate change,costs,fishing for food,slot limits
biodiversity,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rec striped bass fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rec snakehead fishing (invasive),-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
rec blue catfish fishing (invasive),-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
flounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hypoxia,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
degraded habitat,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
license fees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
public access,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
limited parking,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
sea trout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travel time,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
kayaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
development,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
trash / marine debris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
climate change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
fishing for food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slot limits,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
