,habitat forming species,species of conservation concern (listed),key food web supporting species,habitat protection for biodiversity,ecosystem function,regulatory enforcement of protected species,regulatory enforcement of protected species' habitat,water quality enforcement (clean water act),epa enforcement (federal vs state),us army corps of engineers enforcement,mitigation banks/development credits,exceeding water quality thresholds,public species counts/ biodiversity data,keystone/poster child species,water improvement plans (cwa),access to biodiverse habitats
habitat forming species,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,0
species of conservation concern (listed),-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0
key food web supporting species,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,1,0
habitat protection for biodiversity,1,-1,1,0,1,1,1,1,1,1,-1,-1,-1,1,1,0
ecosystem function,1,-1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,0
regulatory enforcement of protected species,1,-1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
regulatory enforcement of protected species' habitat,1,-1,1,0,0,0,0,1,1,1,0,0,1,1,1,0
water quality enforcement (clean water act),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epa enforcement (federal vs state),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us army corps of engineers enforcement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mitigation banks/development credits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exceeding water quality thresholds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
public species counts/ biodiversity data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keystone/poster child species,1,1,1,1,1,1,1,1,1,1,-1,-1,1,0,1,0
water improvement plans (cwa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access to biodiverse habitats,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
