,habitat diversity / biodiversity,healthy ecosystem,habitat-forming species,key food web supporting species,sp of conservation concern,harmful organisms,beauty / enjoyment of nature,fishing,index of biotic integrity (sp tolerances),benthic bioassessments,nutrient input / levels,hypoxia (decreased dissolved oxygen),benthos diversity,plankton & macroalgae,biodiversity,willingness to support environmental improvement,development (direct habitat destruction)
habitat diversity / biodiversity,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
healthy ecosystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
habitat-forming species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
key food web supporting species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sp of conservation concern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
harmful organisms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
beauty / enjoyment of nature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
index of biotic integrity (sp tolerances),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
benthic bioassessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nutrient input / levels,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hypoxia (decreased dissolved oxygen),0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
benthos diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plankton & macroalgae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
biodiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willingness to support environmental improvement,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
development (direct habitat destruction),-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
