dataset,best_model,best_F1
pr-academics,gpt-4.1-mini,0.358830146231721
pr-businesses,gpt-4o,0.3370165745856354
pr-fishers,gpt-5,0.2968460111317254
pr-managers,gpt-4o,0.2565535023635582
pr-ngos,gemini-2.0-flash,0.3430656934306569
usvi-academics,gemini-1.5-flash,0.317004239284032
usvi-businesses,gpt-4.1,0.3485051316376617
usvi-dap,gpt-5,0.2603365884063993
usvi-fishers,gemini-2.0-flash,0.3419267299864315
usvi-managers,gemini-2.0-flash,0.3461203138622493
usvi-ngos,gemini-1.5-flash,0.3882978723404255
