,habitat,storm frequency,shipping lanes,research,renewable energy,species range,place based management,outreach,harmful organisms,indigenous population,cultural engagement,cetaceans,derelict fishing gear,food web,military,fishery,biogeography,biodiversity,species of conservation,invertebrates,stakeholders
habitat,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
storm frequency,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
shipping lanes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
research,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
species range,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
place based management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outreach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1
indigenous population,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
cultural engagement,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
cetaceans,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0
derelict fishing gear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1
food web,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishery,0,0,0,1,0,1,1,0,-1,0,0,0,-1,1,0,0,0,1,0,0,0
biogeography,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
biodiversity,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
species of conservation,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
stakeholders,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0
