,Coastal Threats,Coral Ecosystem,Coral Health,Environmental Health,External Relations,Fisheries Management,Government & Conflict,Interagency Collaboration,Marine Ecosystem Health,Ocean Degradation,Public Education,Resource Management,USVI Fisheries,USVI Tourism,climate change,disease resistance,marine science,recreational fisheries,sea turtles,seaweed blooms
Coastal Threats,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Ecosystem,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,-0.2,0.0,0.0,0.0,0.0,-0.2,0.0,0.0
Coral Health,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
Environmental Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0
External Relations,0.2,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
Fisheries Management,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Government & Conflict,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.8,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
Interagency Collaboration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Ecosystem Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ocean Degradation,0.0,0.0,0.0,0.8,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Public Education,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Management,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
USVI Fisheries,0.0,0.0,0.0,-0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USVI Tourism,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0
climate change,0.0,0.0,-1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disease resistance,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.75,0.0,0.0,0.0,0.8,0.0,0.0,0.0
marine science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recreational fisheries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sea turtles,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
seaweed blooms,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0
