,Climate Impacts,Coastal Planning,Coastal Protection,Coastal Recreation,Coastal Resource Management,Community Management,Fisheries Populations,Fisheries Regulations,Habitat Conservation,Marine Preservation,Spatial Analysis,Water Quality Projects,coastal resiliency projects
Climate Impacts,0.0,0.0,-0.2,-0.5,0.0,0.0,-0.5,-0.6666666666666666,0.0,0.0,-0.6666666666666666,0.0,0.75
Coastal Planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.8,1.0
Coastal Protection,-1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.6
Coastal Recreation,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
Coastal Resource Management,0.75,1.0,0.0,0.8,0.0,0.0,0.6,0.0,0.0,1.0,0.75,0.6666666666666666,0.0
Community Management,0.0,0.0,0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fisheries Populations,-1.0,0.0,0.0,0.8,0.0,0.6666666666666666,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Fisheries Regulations,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Habitat Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Marine Preservation,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water Quality Projects,-0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coastal resiliency projects,0.6666666666666666,0.0,0.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
