,Coastal Water Pollution,Environmental Knowledge Sharing,Events & Tourism Logistics,Fisheries Management,Fishing Industry Management,Marine Biodiversity & Recreation,Policy & Economic Impacts,Species & Habitat Change,Subject Expertise,Water Flow & Runoff
Coastal Water Pollution,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Environmental Knowledge Sharing,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0
Events & Tourism Logistics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Fisheries Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishing Industry Management,0.0,0.5,0.8,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
Marine Biodiversity & Recreation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Policy & Economic Impacts,0.0,0.0,1.0,-1.0,-0.2,0.0,0.0,0.0,0.0,0.0
Species & Habitat Change,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Subject Expertise,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Water Flow & Runoff,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.6,0.0,0.0
