,Beach Choice Modeling,Competitive Stress,Fish Hatchery Management,Habitat & Ecosystem,Key Marine Species,Resource Resilience,Shellfish Harvesting,Steelhead Conservation,community values,stakeholders,tribal values
Beach Choice Modeling,0.0,1.0,0.0,0.6,0.0,0.8,0.0,-0.2,0.6,0.0,0.0
Competitive Stress,0.6,0.0,-1.0,0.0,0.0,-0.6,-1.0,0.0,0.0,0.0,0.0
Fish Hatchery Management,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8
Habitat & Ecosystem,0.0,-0.2,0.0,0.0,1.0,0.0,0.6,0.0,1.0,1.0,0.0
Key Marine Species,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
Resource Resilience,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0
Shellfish Harvesting,1.0,0.0,0.0,-0.6,-0.6,1.0,0.0,-0.6,0.0,0.0,0.0
Steelhead Conservation,0.3333333333333333,0.2,0.6,-1.0,-0.6,0.2,0.0,0.0,-0.6,0.0,-0.2
community values,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stakeholders,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.6,0.0,0.0,1.0
tribal values,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0
