,Climate Risks,Community Management,Coral Health,Fisheries Management,Government Transparency,Habitat Impacts,Income Support,Marine Species,Regulatory Compliance,Sahara Dust Issues,Species Management,Tourism Industry,Water Monitoring
Climate Risks,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Community Management,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
Coral Health,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5
Fisheries Management,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.5,0.75,0.0,0.0
Government Transparency,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Habitat Impacts,1.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,0.0
Income Support,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
Marine Species,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0
Regulatory Compliance,0.0,0.0,0.5,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sahara Dust Issues,1.0,0.0,-0.25,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Species Management,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tourism Industry,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,-0.5,0.0,0.5,0.0,0.0,0.0,0.0
Water Monitoring,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
