,Biodiversity & Conservation,Environmental Stressors,Fisheries & Economics,Fisheries Management,Fishing Industry,Food & Nutrition,Food Access,Human-Ecosystem Interactions,River Water Resources,Stakeholders & Management
Biodiversity & Conservation,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
Environmental Stressors,0.5,0.0,0.0,0.5,0.0,0.8,0.0,0.8,0.0,0.5
Fisheries & Economics,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,-1.0,0.0,0.8
Fisheries Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Fishing Industry,0.0,0.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
Food & Nutrition,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human-Ecosystem Interactions,0.5,1.0,-0.25,0.0,1.0,1.0,0.8,0.0,0.0,0.0
River Water Resources,0.4,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Stakeholders & Management,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
