,Biodiversity Conservation,Ecosystem Resilience,Ecosystem Threats,Environmental Impact,Habitat Species,Habitat Threats,Management Approaches,Marine Ecosystem Health,Resource Conservation,Species Biogeography,System Stressors,hypoxia,marine debris,marine science,microplastics,ocean acidification,shipping industry
Biodiversity Conservation,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,-0.4,0.0,0.0,0.0,0.0,0.0
Ecosystem Resilience,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.4,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0
Ecosystem Threats,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Impact,-0.6,0.0,-1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Habitat Species,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Habitat Threats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Management Approaches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-0.2
Marine Ecosystem Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Species Biogeography,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
System Stressors,0.0,0.0,0.0,1.0,-1.0,-0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
hypoxia,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marine debris,-0.3333333333333333,-1.0,0.0,0.0,-1.0,-0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8
marine science,1.0,0.25,0.0,0.5,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microplastics,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
ocean acidification,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shipping industry,0.0,-1.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
