,Biodiversity & Ecosystems,Coastal Ecosystems,Coral Reef Biodiversity,Ecosystem Dynamics,Environmental Policy Collaboration,Environmental Science Integration,Integrated Resource Management,Marine Resource Management,Nature Policy & Funding,Species Diversity,biogeochemist,dunes,flood risk reduction
Biodiversity & Ecosystems,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Coastal Ecosystems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0
Coral Reef Biodiversity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
Ecosystem Dynamics,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.8,0.0,0.0,0.0
Environmental Policy Collaboration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Science Integration,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integrated Resource Management,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Resource Management,0.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0
Nature Policy & Funding,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Species Diversity,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogeochemist,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.75,0.0,0.0,0.0
dunes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
flood risk reduction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8,0.0,0.0,0.0,0.0
