target,cost of energy for people?,fish population - benefits?,Clean energy - benefits,OSW Operation,OSW Construction,Economist,fish aggregation,amount of energy,state policies,scale of production,vessel traffic,"novelty""""",artificial reef effect,speed/scale of development,physical footprint of OSW,energy portfolio,Reduction in ONG/existing ONG platforms,cumulative and nonlinear effects,fisheries health - detriment?,fish to eat,inc spawning,dec natural mortality,aesthetics/viewscape,property values,tourism,navigation and habitat,aquaculture,comm and rec fishing,fisheries exclusion,emf,noise,wait and learn from other countries,WTO,"strategic resource policy""""",reduce import of shrimp,siting - density of turbines
cost of energy for people?,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish population - benefits?,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,Neutral
Clean energy - benefits,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0
amount of energy,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state policies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scale of production,0,0,0,Neutral,Neutral,0,0,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vessel traffic,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"novelty""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificial reef effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed/scale of development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical footprint of OSW,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy portfolio,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reduction in ONG/existing ONG platforms,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cumulative and nonlinear effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fisheries health - detriment?,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
fish to eat,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0
inc spawning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dec natural mortality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aesthetics/viewscape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
property values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
tourism,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
navigation and habitat,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0
aquaculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
comm and rec fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,Neutral,Neutral
fisheries exclusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
emf,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
