target,climate mitigation,broader political/osw landscape,quality of life,cost of insurance,impacts of climate mitigation,OSW Operation,OSW Construction,Environmental NGO,comms define benefits,manufacturing needs,creation of new jobs,generation of clean energy,Fed vs State,spills/accidents,suitable habitat,rec fisheries,considerations for closures/non fishable areas,navigational challenges,Existing ONG infrastructure,comm fisheries,seabirds,aesthetics,spread of misinformation,bird monitoring,MSP - fisheries,procurement/COP stipulations,utilization of existing workforce and infrastructure!,labor organizing and protection - federal,physical location in Gulf and in water,debris/contaminants,excuses/viability of dirty energy,community benefit plan,economic/financial viability of OSW,perceptions of OSW,Environmental/social justice,coordination and collaboration,tax credits and incentives federally,land use planning,local zoning,sense of place/sense of identity in LA,advocacy/political identity,overall appetite for OSW,,,data sharing/proprietary data,noise,funding/resources,BOEM bid credits for env and science in addition to fisheries
climate mitigation,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broader political/osw landscape,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quality of life,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cost of insurance,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impacts of climate mitigation,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environmental NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comms define benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manufacturing needs,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creation of new jobs,0,Neutral,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generation of clean energy,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fed vs State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
