target,reef fish,invasive,fisheries,Research and Monitoring/Ecology/ONG Research,OSW Construction,OSW Operation/Maintenance,suitable/preferable habitat,sensitive/critical habitats,spills/accidents,new hard bottom structure,ONG Infrastructure,Additional of physical structure,drilling,disruption/removal of habitat,MSP landing siting,seagrasses,species aggregation,cabling/terrestrial landing,contaminants,noise,MSP -environmental concerns,fisheries management and communication,risk/general risk reduction,new tech - bird avoidance and speed restrictions,migratory pathways,light,seabirds/migratory birds,environmental monitoring,,,debris,long term sustainability and maintenance,political environment
reef fish,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0
invasive,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0
fisheries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,Neutral,Neutral,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0
Research and Monitoring/Ecology/ONG Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation/Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suitable/preferable habitat,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitive/critical habitats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
spills/accidents,0,0,0,0,0,-1,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new hard bottom structure,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONG Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additional of physical structure,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drilling,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disruption/removal of habitat,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP landing siting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seagrasses,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0
species aggregation,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabling/terrestrial landing,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contaminants,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP -environmental concerns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fisheries management and communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
risk/general risk reduction,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0
new tech - bird avoidance and speed restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migratory pathways,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0
light,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seabirds/migratory birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,Neutral,Neutral,0,Neutral,0,0,0,0,0
environmental monitoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0
long term sustainability and maintenance,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
political environment,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
