target,benefits to small and local businesses,existing ONG/other industry,energy security,decarbonization,economic benefit,OSW Operation,OSW Construction,Wind Trade Group,political motivations/geopolitics,cost of energy,suitable habitat for fauna,familiarity with industry in LA/existing inf,fabrication and shipping,migratory and coastal birds,appetite for OSW locally,strikes and collisions,policy - cost benefit of decarbonization,OSW energy generation,OSW elsewhere,energy from other sources,location (state vs Fed off LA),dependency on ONG boom and bust,capacity in LA (ports),use of existing inf/workforce (shoreline and workforce assets),developer/industry priorities,cost/appetite to develop,communication of state vs federal development,dis/misinformation - environmental mudslinging,public perception of OSW,,community/labor quotas/local content agreements,enforcement,trust/distrust of dev and fed process,learn from other examples (carbon capture),communication abt benefits and drawbacks of OSW - devs/shared
benefits to small and local businesses,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
existing ONG/other industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy security,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,Neutral,0,0,0,0,0,0,0,0,0
decarbonization,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0
economic benefit,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind Trade Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
political motivations/geopolitics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cost of energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
suitable habitat for fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
familiarity with industry in LA/existing inf,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fabrication and shipping,0,Neutral,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migratory and coastal birds,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appetite for OSW locally,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,Neutral,0,Neutral,0,0,Neutral,0,0,0,0,0,0
strikes and collisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
policy - cost benefit of decarbonization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW energy generation,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW elsewhere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy from other sources,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
location (state vs Fed off LA),0,0,0,0,0,Neutral,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dependency on ONG boom and bust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
capacity in LA (ports),0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
use of existing inf/workforce (shoreline and workforce assets),0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0
developer/industry priorities,0,Neutral,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cost/appetite to develop,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,Neutral,Neutral,0,Neutral,0,Neutral,0,0,Neutral,0,0,0,0,Neutral,0,0
communication of state vs federal development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dis/misinformation - environmental mudslinging,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
public perception of OSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,0
community/labor quotas/local content agreements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enforcement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trust/distrust of dev and fed process,0,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
