target,BOEM Environmental Resources,invasive,larval movement and settlement,Charter/rec fish,OSW Operation/Decomm,OSW Construction,clean energy for res/business use,benthic disturbances,physical location of activities,physical space occupied,hydrogen production (offshore/onshore),production of energy,density of activities,hyrdology,comm fish/mobile gears,suitable habitat,prod/agg,Existing ONG Industry,reef fish,incentives or pressure,appetite/willingness to invest/develop,debris/contaminants,pollution/trash,birds,incentives - tax breaks/subsidies,MSP,Political environment,navigation/collision risk,carbon sequestraion,cost of investment,"individual economics - taxes, jobs, etc",cultural heritage,aesthetics,construction of infrastructure for sequestration,shipping/transport,,coastal habitats,noise,maintenance,manufacturing of parts,Sand recovery activities,Surveys/Monitoring,Federal Partnership - BOEM BSEE ACE NOAA CG,Community Benefit agreements,wind wakes,EMF,full life cycle considerations,,,,,,active working group
BOEM Environmental Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invasive,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
larval movement and settlement,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charter/rec fish,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation/Decomm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean energy for res/business use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic disturbances,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical location of activities,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical space occupied,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
