target,cleaner energy,coastal health,carbon mitigation,jobs,OSW Operation,OSW Construction,Economic Dev Org,export of labor and expertise,creation of new jobs/job opportunities,maintenance needs,energy generation,physical location of dev,community economic health,equity/EEJ,individual economic health,other environmental project (sediment diversion etc),carbon goals,Existing energy infrastructure,utilization existing worksfore/infrastructure,political environment,site planning steps,knowledge generation,scientific opportunities,collisions/navigational challenges,avian health,MSP,engineering (black tip of blade),stakeholder engagement specifically in MSP,fishing off platforms,rec fishing,willingness/appetite,local narrative,politicalization/mis and disinformation,cables/transmission/onshore dev,comm fishing,outreach/advocacy/education of communities,full scope planning - inc decomm,supply chain and workforce plan,education - leg auth via state master plan,data collection,state/nearshore planning,learn from other OSW devs - but not copy/paste,,,
cleaner energy,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastal health,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0
carbon mitigation,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jobs,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Dev Org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
export of labor and expertise,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creation of new jobs/job opportunities,0,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maintenance needs,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy generation,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical location of dev,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
community economic health,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0
equity/EEJ,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
individual economic health,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other environmental project (sediment diversion etc),0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon goals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Existing energy infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utilization existing worksfore/infrastructure,0,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
political environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
site planning steps,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientific opportunities,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
collisions/navigational challenges,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avian health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
