target,NPS - Visual Resource Specialist,"Scenic Quality""""",Inherent value of unimpaired viewscape,OSW Operation,OSW Construction,,recreational fishing,Aesthetic Value,Existing ONG,Lights,expanse of wind farms - organization and physical location of OSW,Scale of turbines and motion,shapes and colors of turbines,UNKNOWN,"attractive features, forms, and focus points",changes to natural landscape,Video or static visual simulations,changes to impaired spaces,"pristine ocean""""",increased activity - vessel traffic,,transportation,"Commercial fishing - feeling""""",Human navigation,,turbine technology - height and blade motion,MSP - away from coast (15-20 mi)
NPS - Visual Resource Specialist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenic Quality""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inherent value of unimpaired viewscape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recreational fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0
Aesthetic Value,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0
Existing ONG,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lights,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0
expanse of wind farms - organization and physical location of OSW,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0
Scale of turbines and motion,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes and colors of turbines,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attractive features, forms, and focus points",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
changes to natural landscape,0,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0
Video or static visual simulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
changes to impaired spaces,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0
"pristine ocean""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
increased activity - vessel traffic,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0
"Commercial fishing - feeling""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0
Human navigation,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0
turbine technology - height and blade motion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP - away from coast (15-20 mi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
