target,engineering standards,haven/sanctuary for species,fish,marine mammals,BOEM Environmental Protection,OSW Operation,OSW Construction,full life cycle i.e. plan for decommissioning,OSW Decommissioning,monitoring - data baselines and during,migratory pathways,spread/distribution of structures,physical space occupied in water,suitable/unique habitat,type of OSW,EMF,fragile habitat,physical location in GoM,noise,habitat displacement,shrimping,use of existing workforce/infrastructure,available workforce,Existing/Decreasing ONG Sector,migratory patterns,species composition,knowledge/comfortability with industry,rec fishing,sense of place,community prosperity,debris/cost of maintenance,hurricanes/storms,obstacles/fishable areas,routing/maintenance/vessel traffic,navigation/fishable areas,"Stakeholder engagement"" and communication""",appetite/cost of operation,,foreign partners,military,commercial shipping,proactive planning for storms,Geopolitics/Knowledge/Perception,,transmission/cabling,vessel traffic/operations,cultural resources,,lessons learned from ONG
engineering standards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haven/sanctuary for species,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,0,0,0,0,0,0,0,Neutral,0,Neutral,Neutral,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marine mammals,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,Neutral,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOEM Environmental Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
full life cycle i.e. plan for decommissioning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Decommissioning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monitoring - data baselines and during,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
