target,maintaining existing jobs,Existing ONG Industry,ONG/political appetite,creation of new jobs,economic prosperity,state level osw development,overall desire for OSW aft state level,OSW Operation,OSW Construction,Port Authority LA,creation of new infrastructure,"if it happens offshore, we can play a part","holistic resiliency""""",financial markets,use of existing infrastructure,Political Environment,cost benefit analysis,fishing,wetland habitat,technology/bird mitigation,state transmission allowances,suitable habitat/hard substrates,data collection,community health benefits,climate mitigation,seabirds/migratory birds,navigation/collisions,physical presence of pilings,overall desire for OSW at local level,advocacy/community support or opposition,workforce training,investment in working waterfront,increased quality of life,resting spaces for birds,production of clean energy,knowledge/perception gaps,,,type of use of energy,reduced carbon footprint,,permitting - siloed
maintaining existing jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Existing ONG Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONG/political appetite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0
creation of new jobs,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
economic prosperity,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
state level osw development,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
overall desire for OSW aft state level,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Authority LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
