target,real time data,knowledge and data generation,OSW Operation,OSW Construction,noise,oceanographic changes,weather data,temp and salinity changes,platforms of opportunity,Observation,physical location of OSW,energy generation,attitudes and wishes of OSW/ONG Industries,accidents/moving parts,vessel traffic,noise,physical (ocean/wind),wind profiles,brine,relationship building wrt observations,data availability,individual/economic health,use of energy/other industries,protected species,shrimp + other fisheries,mooring,benthic modification,regional collaboration/associations,industry and agency,funding/investment,political and economic considerations,migratory pathways,birds/bird health,EOVs,co development
real time data,0,0,0,0,Neutral,Neutral,0,Neutral,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge and data generation,0,0,0,0,Neutral,Neutral,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oceanographic changes,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weather data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temp and salinity changes,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platforms of opportunity,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Observation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
