target,Fishery independent surveys - fish pop dynamics,juv recruitment,Reef fish - red snapper,King Mackerel - less assoc but they do visit,OSW Operation,OSW Construction,"Reef effect"" and hard structure""",Pilings/physical space occupied in water,Site fidelity/habitat,Fish Dist/Pop,Existing ONG Platforms,benthic and mud bottom modification,"turbines spinning""""",Fishable areas,"Fishing""""",Hydrodynamics/ circulation,Knowledge/Rhetoric,"research and instrumentation - solar panel, ctd, echosounder",,Existing literature/ONG,Shrimp,pile driving,MM Wellbeing,noise,sediment resuspension,hypoxia/dead zone,plan for end of life - cost structure and responsibility,communication/messaging related to fishing,species moving due to climate change - range expansion,climate change and range expansion,migratory corridors,MSP - unique and critical habitats,enforcement,,,Activism and power/advocacy - preferential to rec fishing than comm,Research and time series,Fish independent surveys,unified coordination
Fishery independent surveys - fish pop dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv recruitment,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
Reef fish - red snapper,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
King Mackerel - less assoc but they do visit,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reef effect"" and hard structure""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0
Pilings/physical space occupied in water,0,0,0,0,Neutral,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site fidelity/habitat,0,0,0,0,0,0,0,Neutral,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish Dist/Pop,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0
Existing ONG Platforms,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
