target,fish habitat/wellbeing,comm fishing,rec/charter fishing,OSW Operation,OSW Construction,charter captain LA,fishing access,fishable spaces,benthic modification,hard substrates/structure,physical presence,depth range,Existing ONG Industry,corals,farther west - better bottom fishing and less pressure,180 is desirable,less than 70ft not desirable,live bottom,aggregation/food availability,type of turbine structure,connections between turbines/cables,turbine design,communication to public,viability of OSW,attitudes towards management,culture of LA,closures/access,private interests,risk/spills,individual wellbeing,community wellbeing,existing inf,manufacturing and maintenance,new jobs,contaminants,adaptive management,enforcement - contaminants,MSP - sensitive habitats and buffers,opportunities for science,monitoring/bottom impacts,knowledge generation,,navigation/obstacles,cleanup efforts inshore/connect with community,MSP - cables,fragile coastal habitats,sustainability of turbines
fish habitat/wellbeing,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
comm fishing,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rec/charter fishing,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charter captain LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishable spaces,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
benthic modification,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard substrates/structure,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
