,Coastal Resource Management,Ecosystem & Habitat,Environmental Stressors,Fishing Industry,Invasive Species Impact,Kelp Forest Habitat,Marine Threats,Maritime Industry,Ocean Ecosystem Health,Recreational Interests,Species Biodiversity,oil exploration
Coastal Resource Management,0.0,0.0,-0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecosystem & Habitat,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
Environmental Stressors,-0.75,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0
Fishing Industry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Invasive Species Impact,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Kelp Forest Habitat,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marine Threats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maritime Industry,0.0,0.0,0.3333333333333333,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Ocean Ecosystem Health,-0.2,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recreational Interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Species Biodiversity,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.6,1.0,0.0,0.0
oil exploration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
