,Colonial Trauma,Conservation Management,Ecosystem Resources,Indigenous Perspectives,Indigenous Sovereignty,Indigenous Stewardship,Just Collaboration,Policy & Research,Stakeholder Engagement,community culture,pristine nature
Colonial Trauma,0.0,-1.0,0.0,-1.0,0.5,-1.0,0.0,0.0,0.0,-1.0,0.0
Conservation Management,-0.2,0.0,1.0,1.0,-0.5,0.0,0.0,1.0,0.0,1.0,0.0
Ecosystem Resources,-1.0,1.0,0.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0
Indigenous Perspectives,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
Indigenous Sovereignty,1.0,0.0,0.2,0.6,0.0,0.0,0.0,-0.2,0.0,-0.3333333333333333,0.0
Indigenous Stewardship,-1.0,1.0,1.0,1.0,0.5,0.0,-0.2,0.0,1.0,0.0,0.0
Just Collaboration,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Policy & Research,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Stakeholder Engagement,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
community culture,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
pristine nature,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
