,Conservation & Wind Farms,Fisheries Management Policy,Fishing Effort Control,Geographic Regions,Gill Nets Types,Global Fisheries,Marine Aquaculture,Marine Policy,Marine Species,Reducing Fishing Impact,Research and Management,Subsistence & Recreational Fishing,national fishing effects database
Conservation & Wind Farms,0.0,0.0,0.0,0.6666666666666666,-0.5,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.2,0.0
Fisheries Management Policy,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.75,0.5,0.0,0.0,0.0
Fishing Effort Control,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0
Geographic Regions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4
Gill Nets Types,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.5,0.0,0.0,0.0,-1.0,0.0
Global Fisheries,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.0,0.4,0.0,0.0,1.0,0.0
Marine Aquaculture,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666
Marine Policy,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Species,1.0,0.0,0.0,1.0,0.75,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.0
Reducing Fishing Impact,0.0,0.0,0.6,0.0,1.0,-0.4,-0.6666666666666666,0.0,0.0,0.0,0.0,-1.0,0.0
Research and Management,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Subsistence & Recreational Fishing,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
national fishing effects database,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
