,AI & Marine Systems,Biodiversity Conservation,Biodiversity Protection,Coastal Resource Management,Habitat Restoration,Regulatory Enforcement,Water & Ecosystem Health,Water Pollution Control,environmental nonprofit,mitigation banking
AI & Marine Systems,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Biodiversity Conservation,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0
Biodiversity Protection,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.8,-0.8
Coastal Resource Management,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Habitat Restoration,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
Regulatory Enforcement,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Water & Ecosystem Health,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Water Pollution Control,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0
environmental nonprofit,1.0,0.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mitigation banking,0.0,-1.0,-0.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
