model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-1.5-flash,P1_Day1_FCM_closed_caption,0.4233128834355828,29.0,10.0,38.0,56.0,0.6,1.0,1.1,51.0,95.0,39.0,77.0
gemini-1.5-flash,P2_Day1_FCM_closed_caption,0.4817813765182186,27.0,5.0,35.0,29.0,0.6,1.0,1.1,42.0,61.0,30.0,67.0
gemini-1.5-flash,P3_Day1_FCM_closed_caption,0.4218009478672986,14.0,15.0,34.0,27.0,0.6,1.0,1.1,45.0,56.0,41.0,63.0
gemini-1.5-flash,P4_Day1_FCM_closed_caption,0.3944444444444444,30.0,10.0,56.0,53.0,0.6,1.0,1.1,55.0,93.0,60.0,96.0
gemini-1.5-flash,P5_Day1_FCM_closed_caption,0.3181818181818181,25.0,8.0,77.0,49.0,0.6,1.0,1.1,52.0,82.0,59.0,110.0
gemini-2.0-flash,P1_Day1_FCM_closed_caption,0.4291907514450867,22.0,14.0,20.0,59.0,0.6,1.0,1.1,51.0,95.0,63.0,56.0
gemini-2.0-flash,P2_Day1_FCM_closed_caption,0.5021097046413502,27.0,5.0,30.0,29.0,0.6,1.0,1.1,42.0,61.0,74.0,62.0
gemini-2.0-flash,P3_Day1_FCM_closed_caption,0.4027954256670902,12.0,7.0,10.0,37.0,0.6,1.0,1.1,45.0,56.0,45.0,29.0
gemini-2.0-flash,P4_Day1_FCM_closed_caption,0.445107398568019,34.0,6.0,40.0,53.0,0.6,1.0,1.1,55.0,93.0,102.0,80.0
gemini-2.0-flash,P5_Day1_FCM_closed_caption,0.3661971830985915,19.0,8.0,26.0,55.0,0.6,1.0,1.1,52.0,82.0,81.0,53.0
gpt-4.1,P1_Day1_FCM_closed_caption,0.3138195777351247,25.0,14.0,87.0,56.0,0.6,1.0,1.1,51.0,95.0,153.0,126.0
gpt-4.1,P2_Day1_FCM_closed_caption,0.3642384105960264,22.0,10.0,67.0,29.0,0.6,1.0,1.1,42.0,61.0,117.0,99.0
gpt-4.1,P3_Day1_FCM_closed_caption,0.4188034188034188,19.0,10.0,41.0,27.0,0.6,1.0,1.1,45.0,56.0,99.0,70.0
gpt-4.1,P4_Day1_FCM_closed_caption,0.24953095684803,25.0,15.0,147.0,53.0,0.6,1.0,1.1,55.0,93.0,240.0,187.0
gpt-4.1,P5_Day1_FCM_closed_caption,0.2325949367088607,25.0,8.0,145.0,49.0,0.6,1.0,1.1,52.0,82.0,233.0,178.0
gpt-4.1-mini,P1_Day1_FCM_closed_caption,0.2763157894736842,27.0,12.0,120.0,56.0,0.6,1.0,1.1,51.0,95.0,192.0,159.0
gpt-4.1-mini,P2_Day1_FCM_closed_caption,0.2849740932642487,22.0,10.0,109.0,29.0,0.6,1.0,1.1,42.0,61.0,162.0,141.0
gpt-4.1-mini,P3_Day1_FCM_closed_caption,0.3186510667584308,16.0,13.0,72.0,27.0,0.6,1.0,1.1,45.0,56.0,127.0,101.0
gpt-4.1-mini,P4_Day1_FCM_closed_caption,0.3437204910292729,32.0,8.0,86.0,53.0,0.6,1.0,1.1,55.0,93.0,230.0,126.0
gpt-4.1-mini,P5_Day1_FCM_closed_caption,0.2335619201290843,24.0,9.0,141.0,49.0,0.6,1.0,1.1,52.0,82.0,220.0,174.0
gpt-4o,P1_Day1_FCM_closed_caption,0.312242090784044,28.0,11.0,94.0,56.0,0.6,1.0,1.1,51.0,95.0,118.0,133.0
gpt-4o,P2_Day1_FCM_closed_caption,0.2675921493537577,23.0,9.0,124.0,29.0,0.6,1.0,1.1,42.0,61.0,120.0,156.0
gpt-4o,P3_Day1_FCM_closed_caption,0.3239795918367346,21.0,8.0,79.0,27.0,0.6,1.0,1.1,45.0,56.0,114.0,108.0
gpt-4o,P4_Day1_FCM_closed_caption,0.3140638481449525,32.0,8.0,106.0,53.0,0.6,1.0,1.1,55.0,93.0,169.0,146.0
gpt-4o,P5_Day1_FCM_closed_caption,0.2092502797463633,22.0,11.0,163.0,49.0,0.6,1.0,1.1,52.0,82.0,182.0,196.0
gpt-5,P1_Day1_FCM_closed_caption,0.2801316330728095,28.0,11.0,119.0,56.0,0.6,1.0,1.1,51.0,95.0,177.0,158.0
gpt-5,P2_Day1_FCM_closed_caption,0.275,22.0,10.0,116.0,29.0,0.6,1.0,1.1,42.0,61.0,152.0,148.0
gpt-5,P3_Day1_FCM_closed_caption,0.2266275085658345,16.0,13.0,131.0,27.0,0.6,1.0,1.1,45.0,56.0,200.0,160.0
gpt-5,P4_Day1_FCM_closed_caption,0.2572463768115942,30.0,10.0,152.0,53.0,0.6,1.0,1.1,55.0,93.0,244.0,192.0
gpt-5,P5_Day1_FCM_closed_caption,0.2194012883668056,24.0,9.0,157.0,49.0,0.6,1.0,1.1,52.0,82.0,210.0,190.0
