,Biodiversity Conservation,Coastal Ecosystem Management,Environmental Stress Response,Marsh Management Governance,Marsh Migration Challenges,Regional Leadership Impact,Tidal Marsh Hydrology,land acquisition,legacy effects,physiological stress,salinity
Biodiversity Conservation,0.0,0.6,0.0,-0.6,0.0,0.5,-0.2,0.0,0.0,-1.0,0.0
Coastal Ecosystem Management,0.0,0.0,0.8,0.2,0.0,0.8,-0.2,1.0,0.5,1.0,0.0
Environmental Stress Response,-0.2,0.6,0.0,0.0,0.8,0.0,0.5,0.0,0.0,1.0,0.0
Marsh Management Governance,-1.0,1.0,0.0,0.0,1.0,0.0,0.6,1.0,0.0,1.0,0.8
Marsh Migration Challenges,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Regional Leadership Impact,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.6
Tidal Marsh Hydrology,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.75
land acquisition,1.0,0.0,0.0,0.0,1.0,0.0,-0.6,0.0,0.0,0.0,0.0
legacy effects,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6
physiological stress,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salinity,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6,0.0,1.0,0.0
