,Abnormal Behavior,Attack Surface,CTF Challenge Analysis,Challenge Solving & Exploitation,Intended Behavior,Normal Behavior,Operating Environments,Software Functionality & Quality,System Dependencies & Access,Unsafe Practices,Vulnerability Identification,Vulnerability Ranking,general expertise
Abnormal Behavior,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0
Attack Surface,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0
CTF Challenge Analysis,0.6,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Challenge Solving & Exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intended Behavior,0.0,0.0,0.6666666666666666,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal Behavior,0.0,0.0,0.2,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Environments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75
Software Functionality & Quality,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System Dependencies & Access,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Unsafe Practices,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
Vulnerability Identification,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Vulnerability Ranking,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
general expertise,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
