,Climate impacts,Collaborative Research Management,Ecosystem Dynamics,Ecosystem health,Fishing Industry,Human-ocean interactions,Marine Biodiversity,Marine Ecosystem Conservation,Public Engagement,Resource Management Strategies,Sanctuary management,Species conservation,Stakeholder Management
Climate impacts,0.0,1.0,0.0,0.0,-0.6,-1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0
Collaborative Research Management,1.0,0.0,0.0,1.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.3333333333333333,0.0
Ecosystem Dynamics,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecosystem health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fishing Industry,-0.6,0.6,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.6,0.0
Human-ocean interactions,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.8
Marine Biodiversity,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8
Marine Ecosystem Conservation,0.0,0.6,0.0,0.6,-1.0,-0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.5
Public Engagement,1.0,0.0,0.0,0.0,0.2,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0
Resource Management Strategies,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0
Sanctuary management,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0
Species conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0
Stakeholder Management,0.0,0.75,0.8,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0
